,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
240,Medu,"Fedu, G3, G2",0.5822784810126582,0.28860759493670884,0.25063291139240507,0.43043478260869567,1.4914187643020596,0.08258291940394169,1.249009566141656,0.7887970615243344
241,Fedu,"Medu, G3, G2",0.4962025316455696,0.3367088607594937,0.25063291139240507,0.5051020408163266,1.500115083627436,0.08355712225604872,1.3402583844447347,0.6617430587279834
242,G3,"Medu, Fedu, G2",0.529113924050633,0.2936708860759494,0.25063291139240507,0.47368421052631576,1.6129764065335752,0.0952475564813331,1.342025316455696,0.8070489844683392
243,G2,"Medu, Fedu, G3",0.6303797468354431,0.25063291139240507,0.25063291139240507,0.39759036144578314,1.5863453815261044,0.09263900016023072,1.2439493670886077,0.9999999999999999
244,"Medu, famrel, G2",G1,0.31139240506329113,0.41265822784810124,0.21012658227848102,0.6747967479674797,1.6352436530500276,0.08162794423970521,1.8060759493670888,0.5641389085754787
245,"Medu, famrel, G1",G2,0.21265822784810126,0.6303797468354431,0.21012658227848102,0.9880952380952381,1.5674603174603174,0.07607114244512098,31.048101265822893,0.45980707395498394
246,"Medu, G2, G1",famrel,0.2683544303797468,0.7620253164556962,0.21012658227848102,0.7830188679245284,1.0275496771767068,0.005633712546066372,1.0967528893780962,0.03664484929336747
247,"G1, famrel, G2",Medu,0.31645569620253167,0.5822784810126582,0.21012658227848102,0.664,1.1403478260869566,0.025861240185867662,1.2432188065099459,0.18005354752342712
248,"Medu, famrel","G1, G2",0.4481012658227848,0.41012658227848103,0.21012658227848102,0.4689265536723164,1.1433703006207714,0.026348341611921178,1.110719095071371,0.22720238753177857
249,"Medu, G2","G1, famrel",0.39746835443037976,0.3189873417721519,0.21012658227848102,0.5286624203821656,1.6573147305631384,0.08333920846018267,1.4448511802942183,0.6582464311025615
250,"Medu, G1","famrel, G2",0.2708860759493671,0.4860759493670886,0.21012658227848102,0.7757009345794393,1.5958430685358258,0.07845537574106715,2.2912447257383977,0.5120900267737617
251,"famrel, G2","Medu, G1",0.4860759493670886,0.2708860759493671,0.21012658227848102,0.4322916666666667,1.5958430685358256,0.07845537574106715,1.2843107653001975,0.7265119591667161
252,"G1, famrel","Medu, G2",0.3189873417721519,0.39746835443037976,0.21012658227848102,0.6587301587301588,1.6573147305631384,0.08333920846018267,1.7655578451574925,0.58238903569669
253,"G1, G2","Medu, famrel",0.41012658227848103,0.4481012658227848,0.21012658227848102,0.5123456790123456,1.1433703006207714,0.026348341611921178,1.1317417080596057,0.21257562438595592
254,Medu,"G1, famrel, G2",0.5822784810126582,0.31645569620253167,0.21012658227848102,0.36086956521739133,1.1403478260869566,0.025861240185867662,1.0694910875742702,0.29463307776560804
255,famrel,"Medu, G2, G1",0.7620253164556962,0.2683544303797468,0.21012658227848102,0.27574750830564787,1.0275496771767068,0.005633712546066372,1.0102078736499827,0.11266341963599147
256,G2,"Medu, famrel, G1",0.6303797468354431,0.21265822784810126,0.21012658227848102,0.3333333333333333,1.5674603174603174,0.07607114244512098,1.181012658227848,0.9794520547945207
257,G1,"Medu, famrel, G2",0.41265822784810124,0.31139240506329113,0.21012658227848102,0.5092024539877301,1.6352436530500276,0.08162794423970521,1.4030379746835444,0.6614042376402163
